2025-06-28	90	UOT: Overleg
2025-06-27	180	uitkering: voorbereiden aanvraag Triodos
2025-06-27	180	uitkering: beslissingsvoorstel
2025-06-27	60	terrazzo wax en ophalen
2025-06-27	45	fixing staircase railing
2025-06-27	30	OHC: Spreadsheet schilderwerk offertes
2025-06-26	120	Keukendeur voorbereiding materiaal bestellen tutorials etc
2025-06-26	180	Kasco
2025-06-25	60	terrazzo polijsten
2025-06-25	60	UOT: Discussie over modellen
2025-06-23	90	Kascontrole 
2025-06-23	120	visualisaties zonwering
2025-06-23	150	Kasco met Chris
2025-06-22	60	zonnepanelen
2025-06-22	240	Eetcafe organiseren en koken
2025-06-20	30	UOT: Presentatie cnotroleren
2025-06-19	90	Jaarrekening
2025-06-19	60	Maandelijkse administratie
2025-06-18	30	tekeningen terrazzo 
2025-06-18	900	bestuur: voorbereiding ALV
2025-06-18	60	Burendag: opbouw & afbouw
2025-06-18	-60	correctie burendag
2025-06-17	0	Final communication with instemming candidates. And writing heart felt rejection letters. :(
2025-06-17	30	Final communication with instemming candidates. And writing heart felt rejection letters. :(
2025-06-17	30	Burendag financiën afgehandeld
2025-06-17	180	UOT: Simulaties analyseren
2025-06-16	90	feest poster deel 2
2025-06-16	0	Replying to instemming candidates
2025-06-16	30	Replying to instemming candidates
2025-06-15	120	Burendag boodschappen gedaan
2025-06-13	30	tomaello terrazzo sample ophalen 
2025-06-13	30	Burendag flyeren en gaspit testen
2025-06-13	30	UOT: Triodos voorstel gelezen
2025-06-12	240	Jaarrekening
2025-06-12	90	CVT
2025-06-10	120	tomaello bezoeken voor terrazzo bovenkeuken
2025-06-09	90	burendag vergadering
2025-06-09	60	notulen
2025-06-09	90	Burendag overleg
2025-06-06	1200	uitkering: ALB voorbereiden
2025-06-06	1800	uitkering: beslissingsvoorstel
2025-06-05	690	UOT: Toolbox eindbeslissing checken en overleg
2025-06-04	150	UOT: Toolbox
2025-06-03	90	UOT: Spel- en taalfouten corrigeren
2025-06-02	90	Bestuur meeting
